名称,类别,客户数量,描述
数据模型实验室,数据中台,0,"随着大数据技术的发展和互联网时代的来临，能够精准快速的建立大数据机器学习模型，已经成为金融行业提高自身竞争力和经营效率的核心。数据模型实验室以大数据分布式计算为基础，利用人工智能的方法，从数据特点出发，为客户建立服务于业务场景的“一体化”智能模型平台。为实现对机器学习模型的统一开发、应用和管理，数据模型实验室内置设计大量统计、论证、观察算法，并提供若干模型模板，使模块业务化实现模型快速搭建。同时，数据模型实验室提供模型开发及部署平台，做到开发、部署、监控、维护模型全生命周期环节的可控。并且，应用网页拖拽界面，不依赖繁复冗余的代码，大幅提升建模效率，提供可视化平台和定制化建模服务，使得建模流程清晰明确，易于讲解、演示和维护。
宇信数据模型实验室拥有独立完整的可视化机器学习模型建模能力，支持微服务架构，使模型快速部署的同时，对模型进行实时监控和反馈，不仅增加模型上线速度和客户的业务效率，也满足业务人员及监管部门对于模型运行状况的监察要求。数据模型实验室延续了宇信从客户角度出发，以业务为基础的设计理念，面向金融业务特别是银行业务的预置场景，根据每种业务特点对相应模型的算法进行深度定制，紧贴银行业务和监管要求，提供配置化的建模解决方案，从而使得模型开发能够充分满足客户需求。"
大数据智能决策平台,数据中台,0,宇信科技为提供高效、精准、全面的数据分析和决策能力，以金融科技为支撑、以行业内外数据为基准、以丰富的行业经验为导向、以策略模型为抓手，围绕运营决策、风控决策、评级决策等场景应用，构建大数据智能决策平台。本平台基于流式计算、机器学习等技术，实现毫秒级决策响应，帮助用户实现业务实时决策，并应用在信用卡、新型网贷、传统信贷等多种风控场景中。同时，大数据智能决策平台设立数管中心，完成实时流数据、批量表数据、内外部接口数据的在线管理和加工融合；运用决策流对规则集、评分卡、决策表等组件自主编排组装，实现准入、反欺诈、评分、授信、预警全链路风控能力。
历史数据查询平台,数据中台,0,"历史数据查询平台基于大数据架构对银行各业务及管理系统全量的历史数据进行整合、归档、存储后集中管理，提供在线历史数据分析与离线数据下载相关的功能，并向全渠道提供联机API和页面形式的历史数据查询功能。
历史数据查询平台提供历史数据查询服务，提供服务的形式主要为实时API接口服务数据、自定义WEB页面查询服务及文件批量导出。提供实时API接口服务数据，能够快速在线配置发布稳定高效的历史数据接口服务；提供自定义WEB页面查询服务，能够拖拽式便捷自定义配置查询页面，构建历史数据的在线查询、审计分析、业务查询等；提供历史数据的批量导出服务，用于数据分析、挖掘建模等应用。"
金融数据资产模型产品,数据中台,0,宇信金融数据资产模型产品是面向企业级数据仓库、数据平台、数据中台的逻辑数据模型，采用面向业务主题的方法，用多维模型设计原则为指导，有效组织来源多样的各种业务数据。同时也能全面反映银行复杂的业务规则，支持大量的分析应用。本产品使用统一的逻辑语言描述银行业务，是数据分析的有力支撑；同时还能够很好地保证数据的一致性，是实现业务智能的重要基础。为了满足不同的业务需求，宇信金融数据资产模型实现了高度的抽象化、结构化、模块化。作为基础数据平台设计的基础，数据模型必须在设计过程中保持一个统一的业务定义，比如渠道维定义、客户维定义和分类等。为了使得整个模型的业务定义能够统一，宇信科技结合金融业务的特性做了统一的抽象和定义，使得整个模型能在企业内部保持一致。
外部数据管理平台,数据中台,0,宇信科技的外部数据管理平台致力于帮助银行管好自身业务运营数据之外的数据。随着银行在营销、风控、信贷管理及客户生命周期管理对外部数据的依赖，需要从外部多渠道引入数据，进行多维度客户信息采集、解析、标准化整合等，并实现内外部数据有效融合的信息管理平台。宇信的外部数据管理平台，通过对行内提供统一的外部数据服务能力，实现全行数据的共享与应用，并对海量数据建立集中和统一的管理，为业务经营与分析提供有效的支撑，解决信息不对称、数据获取能力有限等难题。
实时计算平台,数据中台,0,实时计算平台是宇信科技在金融科技创新中，基于ApacheFlink流计算框架构建的全链路实时大数据分析平台。本平台可异步适配多来源、多类型数据，让多源数据汇集融合，并具备批流合一的全栈分析能力，提供可视化作业配置，简化BI场景下数据开发的复杂度。同时，实时计算平台基于大数据生态技术的分布式架构，实现数据分析的高效精准、毫秒延迟，满足数据决策的时效要求，提供多种方式的数据服务接口，服务于各应用场景对流数据的共性需求。宇信可以通过实时计算平台，全面助力企业实时化转型，真正践行金融科技赋能业务发展目标。可支撑应用场景：实时数仓、实时数据平台、实时报表、实时大屏、实时管驾、实时运维分析…
数据开发管理平台,数据中台,0,"数据开发管理平台以“管理赋能数据，数据赋能业务”为目标，依托数据标准、数据字典、数据指标，建设标准企业级数据模型，运用灵活的数据开发方式，为客户提供高质量、便捷的数据开发使用体验，是数据中台体系中实现DataOps的关键产品。
数据开发平台以数据工单的形式实现对数据开发全流程的管理，包括创建数据模型、数据开发，以及对操作内容进行审核和测试环境验证，并在测试环境验证相关数据模型及模型映射。同时在测试通过之后，系统生成待上线的脚本文件，在生产环境将脚本文件上传运行实现最终的数据开发目的。"
智能数据交换平台,数据中台,0,智能数据交换平台致力于对分散建设的应用信息系统进行整合，并通过大数据生态圈的技术来实现信息交换。本平台通过建立中心数据库，整合数据的抽取、集中、加载、展现，为客户构造统一的数据处理和交换，保证各个异构系统分布之间互联互通。同时智能数据交换平台提供若干个应用子系统对信息和数据进行统一的传输及共享，因而提高信息资源的利用率，最终实现信息化建设的基本目标。
企业数据管控平台,数据资产,0,"企业数据管控平台是一款覆盖数据全生命周期的数据管控平台，通过对数据从抽取、创建到消亡的全过程的监控和治理实现对数据的统一管控，保证企业业务数据在采集、集中、转换、存储、应用整个过程中的完整性、准确性、一致性、时效性、安全性，从而帮助客户建立起符合自身特点的数据架构和数据治理体系。
企业数据管控平台是由多个产品组成的一套解决方案，面向实施人员的、智能的、敏捷的数据全生命周期管理应用平台。数据管控平台以元数据管理平台为基础，将数据标准、数据质量、数据资产等系统组合使用。"
数据资产管理平台,数据资产,0,金融数据资产管理平台是宇信科技为了应对金融数据资产化管理的重要大数据平台产品。通过体系化的建设过程，为金融机构提供全面的数据资产管理与数据服务，一站式数据资产管理界面与商品化的数据服务，帮助金融机构客户专注于数据资产的管理与数据服务。通过使用数据资产管理平台，客户可以对金融机构数据资产进行全生命周期的管理，包括不同类型的数据、不同技术平台的数据，对资产进行可视化管理。
元数据管理平台,数据资产,0,"元数据管理平台以CWM标准为基础建立统一的元数据存储模型，并根据该元数据模型统一存储日益增加的企业数据信息，为用户了解、管理海量数据奠定坚实的基础。本产品可以存储、管理来自源系统、BI数据模型、ETL过程、数据集市、报表工具的元数据，贯穿数据在数据源到数据目标加工过程中的各个环节。
元数据管理平台通过提供统一的元数据模型，对元数据进行动态采集和管理，并对元数据进行版本控制，真正实现对多变、动态的数据进行管理。元数据管理平台对数据进行集中管理，认识数据、分析数据、挖掘数据，帮助企业实现数据利用的最终目标。元数据管理平台也提供强大的数据分析功能，通过影响分析、血统分析、表关联度分析功能，结合数据地图帮助企业用户理解数据的加工处理过程，认识数据，提供多个视角分析数据在生命周期中的流转情况，为用户更好的认识数据、分析数据、挖掘数据提供了强有力的工具。"
数据标准管理平台,数据资产,0,"数据标准（DataStandards）是保障内外部使用和交换一致性和准确性的规范性约束。标准管理是规范数据标准制定和实施的一系列活动，是数据资产管理的核心活动之一，对政府和企业提升数据质量、厘清数据构成、打通数据孤岛、加快数据流通、释放数据价值有至关重要的作用。
数据标准通过标准分类确定采集项的分布情况，结合标准属性扩展数据标准采集项。在基础数据标准中，通过当前版本和修订版本，实现版本发布后，修订版本修改数据标准不影响数据标准的当前版本使用。数据标准和元数据关联，除了能建立两者之间的关系，同时可以为数据质量管理做准备。数据标准的生命周期记录从草稿，待发布、已发布、修订、再发布、废止等一系列状态的基础标准生命周期。"
数据质量管理平台,数据资产,0,"数据质量管理平台是一款轻量级的数据质量平台，通过整合数据分析、质量校验、数据清洗、质量监控等多方面特性，以保证数据质量的完整性、一致性、准确性及唯一性。它可帮助企业解决在数据集成过程中遇到的数据质量的相关问题，为企业高效、准确的进行业务分析打下坚实基础。
数据质量管理平台用于对质量规则的配置和根据规则进行数据的校验，通过规则库配置、任务配置、检测记录等操作，能够评估数据质量，产生问题数据，帮助用户快速定位问题、处理问题、提升数据质量。平台主要涵盖数据质量管理过程，包括规则库、检测报告、任务管理、检测记录、配置管理等。"
统一支付平台,支付清算,3,多个支付业务系统的集中整合，降低系统部署和运维成本，减少核心系统和外围系统由于支付系统变化引起的变动，保证核心系统稳定性。采用分布式技术架构，可灵活扩展，支持未来新支付应用系统建设，方便新支付系统和新业务的灵活、快速和高质量开发。
CRM客户关系管理系统,经营管理及数据应用,0,宇信科技CRM系统是一套全面客户管理解决方案，它面向国有、股份制，以及区域性银行市场，解决银行对零售客户、对公客户的全方位管理需求，实现客户的全生命周期管理，包括从潜在客户到贵宾客户的生命旅程规划，在客户的刻画方面实现客户360度视图及标签画像，在客户评价方面实现了基于大数据人工智能算法模型的客户分层及客户分群。本产品可支持银行的客户管理、客户分析、精准营销、主动服务等应用，可支持客户经理全方位管理客户，并移动开展工作。
智能营销中台,经营管理及数据应用,0,宇信科技智能营销中台是一款集成先进营销理念的自动化营销生产力工具。它支持大数据模型精准筛选客群，根据客户资产及偏好精准匹配产品，在恰当的时机、恰当的渠道，采用生动的、引人入胜的方式投放触达客户，并对反馈行径跟踪，实现高效的营销管理。
绩效管理平台,经营管理及数据应用,0,宇信科技绩效管理平台是融合了先进绩效管理理论，对银行各级机构与员工进行业绩采集、计算加工、统计汇总的一套运营管理工具系统。它支持灵活的绩效考评方案制定、复杂的业绩拆分与认定、奖费到人的精细核算体系，是银行各级机构对员工管理与激励的有利支撑工具。
经营分析平台,经营管理及数据应用,0,"以精细化、专业化管理为核心思想，以价值分析与运营为目标，构建覆盖全业务条线、业务全生命周期、全竞争分析、原因动因分析的经营分析平台。
以统一指标为基础，实现指标的全口径（核算口径、考核口径、分析口径）分析；以动因分析、专业分析为工具，实现原因的深层分析；以可视化图形、报表、H5等为表现形式，实现对不同层级管理者、经营者、分析者的决策支持。"
网点管理平台,经营管理及数据应用,0,"以银行网点的事前、事中、事后管理为主线，以精细化、专业化为核心理念，以网点价值评估为依据，构建网点的全生命周期管理平台。
包含网点的规划管理、选址管理、评级管理、业绩评估、价值评估、业绩比拼等。"
财富管理平台,经营管理及数据应用,0,"私人财富管理是银行零售转型关注的焦点，宇信以财富管理为核心，围绕财富管理的体系建设、业务流程建设、资产配置模型、服务场景及标准建设、私人银行队伍体系打造，构建完整的财富管理平台。
该平台以国际化的财富管理理论为指导，融合行业先进的实践经验，形成完整的私人银行财富管理体系。"
培训管理平台,经营管理及数据应用,0,"随着网络信息技术的飞速发展，人力资源的挖掘与培养也正如同其他领域一样，正面临着大数据浪潮的冲击。在传统的培训管理模式基础上加入数据化管理理念，使教育培训工作以全新的格局和技术来改善其流程体系及支撑体系，进而低成本、高效率地做好培训及管理工作已是教育培训行业大势所趋。
该平台突破传统教育培训受时空掣肘的藩篱，构建全天候、无地限的新型教育培训模式；缩短教育培训链条，让专对专受训成为新常态；搭建起多层次、高水平、内容丰富的专业化网络自主学习平台。"
综合积分权益管理平台,经营管理及数据应用,0,"作为提升客户忠诚度的重要手段之一，积分广泛应用于各行业。在商业银行，积分最早应用于信用卡领域，但信用卡积分存在客户范围较小、积分业务种类较窄、积分应用项目较少等问题，客户认同感不强。随着业务发展的需要，商业银行急需扩大积分的客户范围、业务种类及应用项目，建立新型综合积分服务体系。
该平台为银行构建全行统一的积分权益管理平台，覆盖积分的产生、兑换、消费、清算全流程，并扩展到积分联盟与营销平台，成为银行大零售转型的重要组成部分。"
投诉管理平台,经营管理及数据应用,0,"客户投诉管理是服务管理的重点。随着监管的趋严，客户投诉成为监管重点，且客户投诉一旦处理不好，也会给企业带来巨大的声誉风险。
该系统借鉴先进行业经验，做到投诉过程全留痕，投诉记录与报表完全满足监管要求。系统采用先进的微服务架构，实现投诉流程的灵活定义，并建立了完整的投诉运营及管理监控体系，实现投诉的全生命周期管理。"
统一指标管理平台,经营管理及数据应用,0,"指标是银行实现经营分析、绩效考核、价值评价、量化管理的重要基础。统一的指标体系一直是银行面临的难题，关键在于全行业务层面的指标统一定义与管理。
该平台借鉴先进银行实践经验，全面覆盖所有业务条线，为银行构建全行统一的指标管理平台，覆盖指标的定义、规则、计算引擎及统一分类，为实现基于指标基础上的各类应用奠定了基础。"
标签管理平台,经营管理及数据应用,0,"客户洞察从标签开始，客户标签实现了对客户的多层次、多维度、精细化画像。标签已经成为客户洞察的最重要手段。
该系统借鉴先进银行实践经验，采用先进算法模型，为银行构建完整的标签管理平台，涵盖标签规则、标签生命周期管理、标签权限管理，实现标签分类、按权限共享的标签管理体系。"
统一监管平台,监管合规,0,基于20年服务金融行业的积累，宇信推出了自己的统一监管报送平台，满足金融机构对指标类和明细类报送的要求，实现各类监管报送的统一平台、统一数据、统一管理，支持各类新增监管报送的扩展，同时通过建设统一监管集中管理平台，减小后续的软硬件投资和优化作业流程，实现监管报送的集中管理。统一监管报送平台不仅仅是帮助客户建立一套监管报送系统，还能实现改善监管报送流程、提升报表自动化程度与报表质量、实现业务人员自主使用业务数据的业务目标。
1104非现场监管报送系统,监管合规,0,"宇信科技提供的1104非现场监管报送系统，依托于统一监管平台，按照统一监管的理念，构建统一指标体系，既满足银监会1104非现场监管报送，又满足其他监管报送，实现了各类监管报送在相同报送指标下的统计口径一致，保证跨监管报送的数据一致性。
产品支持Excel的方式进行监管报表表样的配置，支持表内逻辑校验、表间逻辑校验、总分校验、零值校验、预警校验等报表数据校验，产品内置监管制度发文中的各类校验，也可以增加自定义校验配置。产品集成了Activity工作流引擎，可提供灵活的报表填报审核流程配置，支持按照部门条线的处理流程配置，简单易用。产品按照银监会报表数据接口规范，支持生成Excel报表和XML报文，全面满足报送要求。"
金融统计大集中报送系统,监管合规,0,"宇信科技提供的人行金融统计大集中报送系统，依托于统一监管平台，按照统一监管的理念，构建统一指标体系，既满足人行金融统计大集中报送，又满足其他监管报送，实现了各类监管报送在相同报送指标下的统计口径一致，保证跨监管报送的数据一致性。
产品支持Excel的方式进行监管报表表样的配置，支持表内逻辑校验、表间逻辑校验、总分校验、零值校验、预警校验等报表数据校验，产品内置监管制度发文中的各类校验，也可以增加自定义校验配置。产品集成了Activity工作流引擎，可提供灵活的报表填报审核流程配置，支持按照部门条线的处理流程配置，简单易用。产品按照人行报文数据接口规范，生成XML报文，保证报文正确报送。"
外汇局报送系统,监管合规,0,"为积极推进“数字外管”建设，提升数据共享服务能力，助推外汇管理改革与发展，实现外汇业务数据统一采集和部分业务数据反馈，进一步规范金融机构各类外汇业务数据采集接口，国家外汇管理局下发《金融机构外汇业务数据采集规范（1.2版）》。
  宇信科技凭借多年对监管业务专注及成熟的技术背景，研发出符合本次规范的外汇报送系统，依托于统一监管平台搭建外汇局报送系统，主要包括：国际收支（BOP）、外汇账户（ACC）、外汇账户内结售汇数据（JSH）、资本项目(CFA)、自身外债（EXD）、对外金融资产负债（FAL）、机构外币现钞存取（CWD），银行卡境外提现（CRD）、银行卡境外消费（CRX）九个报表模块。为了更好的保证报送灵活性，提供手动报送和自动报送两种方式，上报过程数据全方位跟踪，能够让客户时刻掌握报送数据动向。"
EAST4.0报送系统,监管合规,0,"宇信科技EAST4.0报送产品，全面满足《银保监办发﹝2019〕198号》中监管数据报送标准，同时，通过产品提供的检核结果的分析功能，既保证报送数据的质量，又为客户进行行内数据治理提供了有力支撑。产品提供报表配置功能，支持生产态的配置变更，能够新增统计报表和变更报表数据项、维护报表数据项校验配置，易于扩展。
产品基于Spark研发的明细数据的校验引擎，支持100亿级明细数据校验，通过节点的横向扩展，可以保证更大数量级的校验性能。产品支持空值、取值范围、格式、表内逻辑、表间逻辑、总分核对、跨监管一致性、记录数校验共计八类校验，覆盖监管的全部数据校验要求。"
客户风险统计报送系统,监管合规,0,宇信科技客户风险统计报送系统，全面满足《中国银监会关于实行新版客户风险统计制度的通知》（银监发〔2012〕39号）等监管要求，帮助金融机构客户准确、及时提交四张对公客户报表和两张个人客户报表，处理银监会反馈问题，对数据报送质量进行分析评价，全面支持客户风险统计管理工作。
个人二代征信报送系统,监管合规,0,"2018年06月29日，人民银行征信中心下发了二代征信系统接口规范。2019年9月2日，互联网金融风险专项整治工作领导小组、网贷风险专项整治工作领导小组联合发布《关于加强P2P网贷领域征信体系建设的通知》，支持在营 P2P 网贷机构接入征信系统。
宇信科技针对人行最新发布的二代征信系统接口规范，设计开发个人二代征信报送系统，帮助金融机构准确、及时的将个人信贷业务数据报送至人民银行征信中心。个人二代征信报送包括个人基本信息、个人借贷交易、个人担保信息三类业务数据。"
企业二代征信报送系统,监管合规,0,"2018年06月29日，人民银行征信中心下发了二代征信系统接口规范。2019年9月2日，互联网金融风险专项整治工作领导小组、网贷风险专项整治工作领导小组联合发布《关于加强P2P网贷领域征信体系建设的通知》，支持在营 P2P 网贷机构接入征信系统。
宇信科技针对人行最新发布的二代征信系统接口规范，设计开发企业二代征信报送系统，帮助金融机构准确、及时的将企业信贷业务数据报送至人民银行征信中心。企业二代征信报送包括企业基本信息、企业借贷交易信息、企业担保信息、企业授信协议信息、抵（质）押合同五类业务数据。"
PISA报送系统,监管合规,0,"宇信科技提供的人行支付信息统计报送系统，依托于统一监管平台，按照统一监管的理念，构建统一指标体系，既满足人行支付信息统计数据报送，又满足其他监管报送，实现了各类监管报送在相同报送指标下的统计口径一致，保证跨监管报送的数据一致性。
产品支持Excel的方式进行监管报表表样的配置，支持表内逻辑校验、表间逻辑校验、总分校验、零值校验、预警校验等报表数据校验，产品内置监管制度发文中的各类校验，也可以增加自定义校验配置。产品集成了Activity工作流引擎，可提供灵活的报表填报审核流程配置，支持按照部门条线的处理流程配置，简单易用。"
利率监测报送系统,监管合规,0,"宇信科技提供的人行利率监测报送系统，依托于统一监管平台，按照统一监管的理念，构建统一指标体系，既满足人行利率监测报送，又满足其他监管报送，实现了各类监管报送在相同报送指标下的统计口径一致，保证跨监管报送的数据一致性。
产品支持Excel的方式进行监管报表表样的配置，支持表内逻辑校验、表间逻辑校验、总分校验、零值校验、预警校验等报表数据校验，产品内置监管制度发文中的各类校验，也可以增加自定义校验配置。产品集成了Activity工作流引擎，可提供灵活的报表填报审核流程配置，支持按照部门条线的处理流程配置，简单易用。"
支付结算合规监管报送系统,监管合规,0,宇信科技提供的人行支付结算合规监管数据报送系统，全面满足《银发﹝2019〕198号》中支付结算合规监管数据接口规范，按照统一管理的原则，提供数据校验、补录，进度监控，报送文件生成，报表生成等功能，帮助金融机构降低人工干预程度，大幅提高工作效率及质量。
非居民金融账户涉税信息报送系统,监管合规,0,宇信科技提供的非居民金融金融账户涉税信息报送系统，全面满足《银行业存款类金融机构非居民金融账户涉税信息报送接口规范》的监管报送要求，帮助金融机构客户准确、及时提交报文数据，履行国家税务总局、财政部、中国人民银行、银监会、证监会以及保监会共同发布《非居民金融账户涉税信息尽职调查管理办法》相关职责要求。
关联交易产品,监管合规,0,"2019年7月，银保监会上线关联交易监管系统，要求银行保险机构通过关联交易监管系统进行关联交易相关数据报送。2022年1月，银保监会《银行保险机构关联交易管理办法》正式发布，对银行保险机构的关联交易管理要求进行了进一步的调整和升级。

宇信科技关联方及关联交易管理系统针对银保监会最新的关联交易管理及报送要求进行研发，致力于解决银行保险机构关联交易管理难点，主要包括业务规则管理、关联自然人管理、关联法人管理、关联方名单制作发布、关联交易数据统计、关联交易业务查询、关联交易监管报送、制度文件管理等核心功能模块。

宇信科技关联方及关联交易管理系统通过业务规则动态配置、关联方性质自动计算、疑似关联方智能识别、关联图谱自动整合等技术手段，实现关联方、关联交易的智能化管理，为银行保险机构打造集关联交易业务管理及监管报送功能为一体的关联交易管理平台。

截至目前，该产品已支持股份制商业银行、大型城商行、信托公司等银行及非银行机构的多个关联交易管理系统项目落地。"
风险偏好及限额管理系统,全面风险管理体系,0,建设符合银保监会风险管理指引和本行内部风险控制制度以及相应的风险偏好的容忍度指标体系，旨在跨风险类型、跨业务条线、跨机构实现全面风险指标信息整合，满足银行各层级风险管理人员的风险信息展现与风险监控的需求。容忍度指标体系包括：总体风险指标、信用风险指标、市场风险指标、流动性风险指标、操作风险、声誉风险和集中度风险，指标展现形式直观，透过建立历史数据，突出趋势分析。
组合压力测试系统,全面风险管理体系,0,按照监管指引或银行内部风险管理的要求，基于银行业务数据和风险计量结果进行单一风险或组合风险的压力测试，包括信用风险、市场风险、操作风险、流动性风险、集中度风险等各类风险。压测的内容包括客户评级、资本需求及供给、资本充足率、市场风险指标、客户行为、流动性指标、银行账簿利率风险指标等。压力测试的维度包括机构、区域、行业、企业规模等。
风险加权资产计量系统,资本管理体系,0,系统通过完成风险加权资产计量平台的建设，将银行现有数据基础转换成合规数据集，完成资本充足率计算，生成监管要求的各类报表和分析功能，并可以在此基础上实现资本管理的计量与监测工作，构造满足监管要求的各类应用能力（如回溯审计、模拟测试等），配合银行的合规达标时间表，为监管达标提供各类数据和应用支撑，并且保证运行系统的高性能、高可用性、可维护性、易用性、安全性、可扩展性等技术特征。
资本管理系统,资本管理体系,0,基于银监会对商业银行实施新资本协议的要求，实现了资本管理相关工具的系统落地，包括经济资本计量、资本规划、资本配置及资本监测。资本规划通过输入资本充足率目标、业务经营计划、资本工具等基础信息，预测未来三至五年可用资本以及资本需求。资本配置是银行将稀缺的资本进行合理分配的过程。资本监测包括对内部资本充足率的监测与对资本日常管理的监测，建立动态监控体系以及预警机制，定期监测资本水平及资本充足情况的变化，结合资本充足性监控的结果及早进行预警，根据需要及时采取纠正措施。
大额风险暴露系统,资本管理体系,0,大额风险管理暴露体系涉及银行的全部资产类业务，对于银行的信用风险管理，市场风险管理从客户集中度风险的层面提出了管理和计量要求。本产品按照大额风险暴露监管指引的计量要求，归集银行客户和账户相关数据，进行风险暴露划分，缓释合格认定及分配，关联客户识别等流程有效识别、计量、监测和防控大额风险，支持与统一授信相关系统建设实时接口，满足银行对客户集中度的授信管理要求。
资产负债数据分析平台,资产负债体系,0,宇信科技资产负债分析平台通过对资产负债管理相关系统数据接口进行重构、整合和拆分，并进行全面标准化整合，深入挖掘业务属性，增加数据维度信息，面向不同资产负债模块进行主题建设，搭建数据完整、层次合理、时效性强、可追溯历史的数据集市。前端通过多维度报表与数据分析工具，实现报表的灵活应用与友好展现。
资产负债管理系统,资产负债体系,0,宇信科技资产负债管理产品，从银行或泛金融机构资产负债表出发，结合行内经营管理和外部监管要求，通过模拟未来利率变化、汇率变化、资产负债结构组合变化，预测未来任意时段的资产负债变化情况、净利息收入变化情况，通过对各种不同业务情景的预测、模拟，以及结果的对比分析，从而评估不同业务情景对流动性、利率风险的影响，以满足外部监管要求（流动性风险管理、市场风险管理），同时为内部经营管理提供辅助决策支持，为合理化的资产负债结构配置以及净利息预测提供支持。
流动性风险管理系统,资产负债体系,0,宇信科技流动性风险管理系统，通过流动性缺口分析、流动性风险限额管理、优质流动性资产管理、应急计划、最短生存期、流动性压力测试、统计分析建模等工具帮助金融企业准确计量、监测、控制和缓释流动性风险，满足监管要求，出具各种指标报告，实现无论在正常经营环境中还是压力状态下都有充足的资金应对资产的增长和到期债务的支付。
资金头寸管理系统,资产负债体系,0,宇信科技资金头寸管理通过监测当前的头寸水平和影响头寸变化的因素，实现大额头寸预报电子化、头寸匡算自动化、调拨及审批流程电子化；在保障支付的前提下，提高资金盈利效率。实现资金业务到期情况查询、历史资金交易查询、货币台资金交易查询、超备波动趋势图、历史超备情况表、分行头寸预报误差情况表、总行头寸预报误差情况表、全行头寸预报误差情况表等。
内部资金转移定价系统,资产负债体系,0,资产转移定价系统即商业银行内部资金中心与业务经营单元按照一定规则全额有偿转移资金，即向资金使用部门收取利息并向资金提供部门支付利息的一种内部定价机制。宇信科技内部资金转移定价产品协助金融企业适应利率市场化下，以内部资金定价为手段，建立公正的与市场接轨的内部价格体系、资金司库运作模式和业务定价模型，准确切割利差，为银行精细化管理和绩效考核奠定坚实的基础，最终实现做到全口径资金收益与成本收益测算、多维度盈利分析与考核、集中流动性风险和利率风险管理的作用。
外部利率定价系统,资产负债体系,0,为加强商业银行利率定价管理，规范利率定价行为，适应利率市场化定价方式，提高经营效益，强化财务约束，实现科学合理定价，宇信科技外部利率定价产品旨在提高金融企业适应瞬息万变的利率市场能力，帮助金融企业建立以客户价值为核心，综合考虑各项成本，灵活定价的管理体系，提升商业银行的利率定价水平，满足外部定价监管要求，同时解决高管层、计财部、前台经营部门对价格的分项控制。
统一前端平台,技术平台产品,0,统一前端平台（YUFP，全称：Yusys Unified Front-end Platform），基于前后端分离架构设计的专业化前端平台，提供各种丰富的Web端、Pad端和手机端技术组件、业务组件和业务模板，基于可视化的建模工具快速完成业务建模，并自动转化为应用代码，快速生成各种前端页面。
统一微服务平台,技术平台产品,0,统一微服务平台是面向企业的微服务架构基础开发平台，提供的基础框架、内置的多渠道支持、丰富的基础组件库、强大的开发工具及运维工具，可为企业快速构建微服务架构的应用，简化应用开发、治理、部署、运维等业务落地的关键过程，助力企业解决传统集中式架构转型的困难，实现企业的业务、产品快速交付。
统一移动平台,技术平台产品,0,"宇信科技统一移动平台(YUMP）集“App开发、测试、运营及运维”为一体，提供一站式、覆盖全生命周期的企业级移动解决方案，能有效降低技术门槛、减少研发成本、提升开发效率，协助企业快速搭建稳定高质量的移动应用。统一移动平台包含六大模块：
1、H5框架，提供了对App、公众号、小程序多端发布的支持;2、外壳容器，采用Hybrid混合架构，包含原生功能及SDK组件;3、移动网关，负责App 接入及智能路由;4、移动管理平台，负责应用管理、发布管理(灰度、热更新)、统计分析（日志和行为)、消息推送接入、安全控制和设备管理;5、开发平台，提供可视化设计、自动化打包、真机调试等功能;6、业务中台，提供接入业务应用服务能力，如手机银行、移动营销、移动OA等。"
企业服务总线,技术平台产品,0,企业服务总线平台基于SOA的开放式架构，支持异构系统的连接与服务集成。其中，安全平台具有身份验证、通讯加/解密及安全部署与审计等功能;服务发布和管理平台可对服务的发现、开发、测试、部署、运营的生命周期进行统一管理;服务治理平台提供服务的优化、创新、实现端到端的业务整合处理能力;企业服务总线审计平台提供服务运行质量统计、分析功能。
通讯前置平台,技术平台产品,0,通讯前置平台BSP着力于解决企业应用开发中的通讯、报文协议转换、智能路由、业务流程编排和批量文件业务处理，内置大量专业化的通信、报文、安全组件，图形化的开发模式。稳定高效的性能表现最大程度解放实施人员对于技术细节问题的了解，使之更加关注于业务需求和业务设计，全面保证项目及时、高效的按质完成。
工作流引擎,技术工具产品,0,"Echain工作流引擎致力于解决所有审批相关的线上活动。
应用场景：
公文审批类：信贷审批、电子公文审批处理、督办查办、报价处理、采购处理、合同审核等；
行政管理类：出差申请、加班申请、请假申请、用车申请、各种办公工具申请等； 
人事管理类：员工培训安排、绩效考评、职位变动处理、员工档案信息管理等；
财务相关类：付款请求、应收款处理、日常、差旅、娱乐报销、预算和计划申请等。"
规则引擎,技术工具产品,0,"规则引擎Shuffle是宇信科技自主研发的一款业务规则运营管理产品，它由推理引擎发展而来，实现了将业务规则从应用程序代码中分离出来，以满足频繁变化的业务规则需求。规则引擎Shuffle特别适用于审批辅助决策，如贷款申请中的承保、信用卡申请、贷款发放中的财务决策、授信政策合规性检查、客户信用评级、金融反欺诈、保险投保自核规则、预授信评分等业务场景。
规则引擎Shuffle可通过提供基于Web的图形化规则开发工具、剥离业务决策等手段，来拉近业务与技术间的距离，使非技术人员可以独立完成规则的创建、变更、测试及上线。从而业务系统能更加从容地应对逻辑复杂、经常反复变化、又对投放准备周期短的业务需求。"
企业统一调度平台,技术工具产品,0,"企业统一调度平台（USE：Unified Scheduling for Enterprise）是宇信科技集在任务调度领域多年的实施经验而开发的一款面向企业级应用的调度产品。它的目标除了在企业内满足各类应用系统的调度需求之外，还可以简化和管理不同的应用系统间上下游依赖关系，统一协调不同应用系统的任务执行，实现各类应用系统的集中调度、集中管理、集中部署、集中监控和集中报警。
目前，该产品已经有上百家用户，在各类金融及其它行业的企业中得到了广泛的应用。"
